start_time,end_time,duration,asleep,soothing
2020-03-23T21:20:51,2020-03-24T01:58:28,16657,16657,0
2020-03-24T03:00:23,2020-03-24T03:47:52,2849,2849,0
2020-03-24T04:38:43,2020-03-24T06:37:00,7097,7097,0
2020-03-24T21:29:32,2020-03-25T01:18:55,13763,13749,14
2020-03-25T02:20:31,2020-03-25T05:12:29,10318,10300,18
2020-03-25T06:01:56,2020-03-25T07:03:47,3711,3699,12
2020-03-25T22:06:49,2020-03-26T01:07:29,10840,10840,0
2020-03-26T01:58:13,2020-03-26T05:06:19,11286,11270,16
2020-03-26T06:00:55,2020-03-26T06:44:30,2615,2606,9
2020-03-26T21:29:02,2020-03-27T01:17:23,13701,13701,0
2020-03-27T02:11:51,2020-03-27T05:34:51,12180,12180,0
2020-03-27T22:05:53,2020-03-28T00:41:41,9348,9348,0
2020-03-28T01:45:12,2020-03-28T05:03:46,11914,11870,44
2020-03-28T05:47:55,2020-03-28T06:55:53,4078,4078,0
2020-03-28T09:13:55,2020-03-28T10:04:25,3030,3030,0
2020-03-28T11:47:50,2020-03-28T12:52:23,3873,3873,0
2020-03-28T14:31:36,2020-03-28T14:48:07,991,991,0
2020-03-28T15:02:14,2020-03-28T15:07:23,309,309,0
2020-03-28T20:37:32,2020-03-29T01:49:43,18731,18731,0
2020-03-29T02:43:57,2020-03-29T04:50:08,7571,7571,0
2020-03-29T05:34:58,2020-03-29T06:19:13,2655,2360,295
2020-03-29T08:38:51,2020-03-29T09:28:27,2976,2878,98
2020-03-29T11:24:01,2020-03-29T12:05:43,2502,2502,0
2020-03-29T21:10:28,2020-03-30T01:04:39,14051,13571,480
2020-03-30T02:00:03,2020-03-30T05:32:23,12740,12740,0
2020-03-30T06:25:13,2020-03-30T07:18:08,3175,3133,42
2020-03-30T14:06:41,2020-03-30T14:24:28,1067,637,430
2020-03-30T20:11:35,2020-03-31T01:00:22,17327,17212,115
2020-03-31T01:58:32,2020-03-31T03:22:37,5045,5045,0
2020-03-31T04:05:19,2020-03-31T06:34:08,8929,8913,16
2020-03-31T11:20:55,2020-03-31T12:04:18,2603,2603,0
2020-03-31T14:53:17,2020-03-31T15:32:16,2339,2339,0
2020-03-31T20:37:42,2020-04-01T02:07:59,19817,19817,0
2020-04-01T02:55:50,2020-04-01T05:45:24,10174,10174,0
2020-04-01T06:28:28,2020-04-01T07:24:31,3363,3363,0
2020-04-01T11:49:02,2020-04-01T12:00:12,670,642,28
2020-04-01T12:17:19,2020-04-01T12:52:53,2134,2134,0
2020-04-01T15:05:49,2020-04-01T15:06:44,55,55,0
2020-04-01T20:38:08,2020-04-01T23:27:33,10165,10165,0
2020-04-01T23:51:13,2020-04-02T01:12:02,4849,4849,0
2020-04-02T01:37:18,2020-04-02T01:43:29,371,371,0
2020-04-02T01:43:29,2020-04-02T01:43:34,5,5,0
2020-04-02T02:22:08,2020-04-02T04:43:02,8454,8454,0
2020-04-02T05:39:31,2020-04-02T06:39:40,3609,3609,0
2020-04-02T16:55:35,2020-04-02T17:29:56,2061,2061,0
2020-04-02T20:26:46,2020-04-02T21:40:14,4408,4396,12
2020-04-02T22:22:22,2020-04-03T00:12:36,6614,6614,0
2020-04-03T00:51:15,2020-04-03T01:40:00,2925,2925,0
2020-04-03T01:59:06,2020-04-03T03:03:38,3872,3872,0
2020-04-03T03:54:35,2020-04-03T06:41:33,10018,10018,0
2020-04-03T07:31:23,2020-04-03T07:41:34,611,430,181
2020-04-03T18:53:30,2020-04-03T19:25:26,1916,1885,31
2020-04-03T21:29:16,2020-04-03T21:32:16,180,180,0
2020-04-03T21:43:24,2020-04-04T03:06:10,19366,19313,53
2020-04-04T03:42:49,2020-04-04T06:53:21,11432,11432,0
2020-04-04T21:25:10,2020-04-05T03:56:12,23462,23462,0
2020-04-05T04:32:12,2020-04-05T05:23:37,3085,3085,0
2020-04-05T06:14:45,2020-04-05T07:05:58,3073,3073,0
2020-04-05T20:58:10,2020-04-05T20:59:36,86,86,0
2020-04-05T21:13:41,2020-04-06T05:43:07,30566,30566,0
2020-04-06T06:09:18,2020-04-06T06:25:41,983,983,0
2020-04-06T20:07:30,2020-04-07T02:10:32,21782,21782,0
