id,Start Time,End Time,Notes,Approximate Duration (Minutes)
105,6:00PM 02-08-2020,7:47PM 02-08-2020,,107
106,9:05PM 02-08-2020,9:41PM 02-08-2020,,36
107,12:00AM 02-09-2020,12:20AM 02-09-2020,,20
108,12:43AM 02-09-2020,3:11AM 02-09-2020,,148
109,3:40AM 02-09-2020,4:20AM 02-09-2020,,40
110,4:50AM 02-09-2020,7:28AM 02-09-2020,,158
111,10:15AM 02-09-2020,12:20PM 02-09-2020,,126
112,12:55PM 02-09-2020,1:50PM 02-09-2020,,55
113,2:55PM 02-09-2020,3:42PM 02-09-2020,,47
115,8:06PM 02-09-2020,10:57PM 02-09-2020,,171
116,12:15AM 02-10-2020,2:35AM 02-10-2020,,140
117,3:20AM 02-10-2020,4:30AM 02-10-2020,,70
118,4:55AM 02-10-2020,6:03AM 02-10-2020,,68
119,6:40AM 02-10-2020,9:09AM 02-10-2020,,150
120,3:15PM 02-10-2020,6:35PM 02-10-2020,,200
121,8:30PM 02-10-2020,10:28PM 02-10-2020,,118
122,11:20PM 02-10-2020,12:25AM 02-11-2020,,65
123,1:00AM 02-11-2020,2:55AM 02-11-2020,,115
124,3:44AM 02-11-2020,4:50AM 02-11-2020,,66
125,5:35AM 02-11-2020,6:25AM 02-11-2020,,50
126,11:08AM 02-11-2020,1:06PM 02-11-2020,,118
128,5:40PM 02-11-2020,7:41PM 02-11-2020,,121
129,8:15PM 02-11-2020,11:00PM 02-11-2020,,165
130,1:15AM 02-12-2020,3:23AM 02-12-2020,,127
131,6:00AM 02-12-2020,7:55AM 02-12-2020,Together on floor,115
132,11:15AM 02-12-2020,12:10PM 02-12-2020,,55
133,4:00PM 02-12-2020,6:00PM 02-12-2020,,120
134,7:50PM 02-12-2020,9:17PM 02-12-2020,,87
135,10:16PM 02-12-2020,1:00AM 02-13-2020,,164
136,1:45AM 02-13-2020,4:20AM 02-13-2020,,155
137,5:00AM 02-13-2020,5:30AM 02-13-2020,,30
138,6:00AM 02-13-2020,7:25AM 02-13-2020,,84
139,8:40AM 02-13-2020,10:35AM 02-13-2020,,115
140,1:45PM 02-13-2020,5:25PM 02-13-2020,,220
141,7:55PM 02-13-2020,12:50AM 02-14-2020,,295
142,1:50AM 02-14-2020,4:20AM 02-14-2020,,150
143,5:15AM 02-14-2020,6:30AM 02-14-2020,,75
144,7:10AM 02-14-2020,8:30AM 02-14-2020,,80
145,10:40AM 02-14-2020,1:25PM 02-14-2020,,165
146,4:10PM 02-14-2020,4:40PM 02-14-2020,,29
147,7:10PM 02-14-2020,8:50PM 02-14-2020,,100
148,9:47PM 02-14-2020,2:47AM 02-15-2020,,300
149,4:30AM 02-15-2020,6:43AM 02-15-2020,Guest bed,132
150,1:10PM 02-15-2020,4:10PM 02-15-2020,Chest,180
151,7:40PM 02-15-2020,11:40PM 02-15-2020,,240
152,12:30AM 02-16-2020,3:15AM 02-16-2020,,165
153,4:00AM 02-16-2020,4:45AM 02-16-2020,,45
154,5:10AM 02-16-2020,6:20AM 02-16-2020,,70
155,10:15AM 02-16-2020,11:50AM 02-16-2020,,95
156,1:00PM 02-16-2020,2:50PM 02-16-2020,,110
157,6:00PM 02-16-2020,7:25PM 02-16-2020,,85
158,8:20PM 02-16-2020,12:00AM 02-17-2020,,220
159,12:45AM 02-17-2020,3:25AM 02-17-2020,,161
160,4:30AM 02-17-2020,5:50AM 02-17-2020,,80
161,6:45AM 02-17-2020,7:30AM 02-17-2020,,45
162,10:45AM 02-17-2020,12:50PM 02-17-2020,,125
163,3:25PM 02-17-2020,4:21PM 02-17-2020,,56
164,8:15PM 02-17-2020,11:05PM 02-17-2020,,169
165,11:45PM 02-17-2020,1:55AM 02-18-2020,,130
166,2:30AM 02-18-2020,4:00AM 02-18-2020,,90
167,4:40AM 02-18-2020,5:10AM 02-18-2020,,30
168,5:40AM 02-18-2020,7:12AM 02-18-2020,Guest bed,92
169,1:30PM 02-18-2020,4:03PM 02-18-2020,,153
170,5:20PM 02-18-2020,6:59PM 02-18-2020,,98
171,9:30PM 02-18-2020,12:00AM 02-19-2020,,150
172,12:30AM 02-19-2020,3:00AM 02-19-2020,,149
173,4:00AM 02-19-2020,5:30AM 02-19-2020,,90
174,6:15AM 02-19-2020,7:00AM 02-19-2020,,45
175,10:20AM 02-19-2020,10:50AM 02-19-2020,,30
176,1:05PM 02-19-2020,3:25PM 02-19-2020,,140
177,6:45PM 02-19-2020,8:30PM 02-19-2020,,105
178,9:15PM 02-19-2020,11:50PM 02-19-2020,,155
179,12:40AM 02-20-2020,3:20AM 02-20-2020,,160
180,4:35AM 02-20-2020,6:55AM 02-20-2020,,140
181,10:45AM 02-20-2020,11:59AM 02-20-2020,,74
182,12:50PM 02-20-2020,2:58PM 02-20-2020,,128
183,8:15PM 02-20-2020,1:15AM 02-21-2020,,300
184,2:25AM 02-21-2020,5:28AM 02-21-2020,,183
186,9:15AM 02-21-2020,9:45AM 02-21-2020,,30
185,11:20AM 02-21-2020,1:22PM 02-21-2020,,123
187,5:45PM 02-21-2020,8:20PM 02-21-2020,,155
188,9:00PM 02-21-2020,12:01AM 02-22-2020,,181
189,1:30AM 02-22-2020,4:00AM 02-22-2020,,150
190,4:30AM 02-22-2020,5:30AM 02-22-2020,,60
191,9:00AM 02-22-2020,10:35AM 02-22-2020,,95
192,11:00AM 02-22-2020,11:47AM 02-22-2020,,47
193,12:50PM 02-22-2020,3:28PM 02-22-2020,,159
194,7:45PM 02-22-2020,8:30PM 02-22-2020,,45
195,9:10PM 02-22-2020,2:45AM 02-23-2020,,335
196,3:45AM 02-23-2020,6:50AM 02-23-2020,,185
197,10:15AM 02-23-2020,12:00PM 02-23-2020,,105
198,1:10PM 02-23-2020,2:00PM 02-23-2020,,50
199,5:40PM 02-23-2020,8:28PM 02-23-2020,,167
200,9:20PM 02-23-2020,12:20AM 02-24-2020,,180
201,1:12AM 02-24-2020,4:11AM 02-24-2020,,179
202,7:30AM 02-24-2020,8:10AM 02-24-2020,,40
203,12:00PM 02-24-2020,12:45PM 02-24-2020,,45
204,2:00PM 02-24-2020,4:20PM 02-24-2020,,140
205,8:45PM 02-24-2020,10:45PM 02-24-2020,,120
206,11:36PM 02-24-2020,4:40AM 02-25-2020,,304
207,5:45AM 02-25-2020,6:20AM 02-25-2020,,35
208,9:00AM 02-25-2020,9:45AM 02-25-2020,,45
209,12:20PM 02-25-2020,3:00PM 02-25-2020,,160
210,6:50PM 02-25-2020,10:20PM 02-25-2020,,210
211,11:30PM 02-25-2020,3:05AM 02-26-2020,,215
212,5:10AM 02-26-2020,7:10AM 02-26-2020,,120
213,10:35AM 02-26-2020,1:32PM 02-26-2020,,177
214,4:35PM 02-26-2020,5:12PM 02-26-2020,,37
215,8:54PM 02-26-2020,11:54PM 02-26-2020,,180
216,1:00AM 02-27-2020,5:00AM 02-27-2020,,239
217,8:50AM 02-27-2020,10:50AM 02-27-2020,,120
218,12:00PM 02-27-2020,1:10PM 02-27-2020,,70
219,4:45PM 02-27-2020,5:45PM 02-27-2020,,60
220,7:05PM 02-27-2020,8:30PM 02-27-2020,,85
221,9:30PM 02-27-2020,1:45AM 02-28-2020,,255
222,3:00AM 02-28-2020,5:00AM 02-28-2020,,120
223,10:50AM 02-28-2020,1:25PM 02-28-2020,,155
224,6:10PM 02-28-2020,7:10PM 02-28-2020,,60
225,8:15PM 02-28-2020,9:30PM 02-28-2020,,75
226,10:10PM 02-28-2020,1:05AM 02-29-2020,,175
227,2:10AM 02-29-2020,5:55AM 02-29-2020,,225
228,9:45AM 02-29-2020,12:15PM 02-29-2020,,150
229,4:30PM 02-29-2020,4:50PM 02-29-2020,,20
230,6:01PM 02-29-2020,7:29PM 02-29-2020,,88
231,7:50PM 02-29-2020,9:05PM 02-29-2020,,75
232,9:45PM 02-29-2020,1:10AM 03-01-2020,,205
233,2:15AM 03-01-2020,5:10AM 03-01-2020,,175
234,9:40AM 03-01-2020,11:40AM 03-01-2020,,120
235,6:30PM 03-01-2020,8:40PM 03-01-2020,,130
236,9:10PM 03-01-2020,9:43PM 03-01-2020,,33
237,10:50PM 03-01-2020,11:40PM 03-01-2020,,50
238,12:30AM 03-02-2020,5:00AM 03-02-2020,,270
239,9:50AM 03-02-2020,10:50AM 03-02-2020,,60
240,3:00PM 03-02-2020,3:24PM 03-02-2020,,24
241,6:25PM 03-02-2020,8:55PM 03-02-2020,,149
242,9:30PM 03-02-2020,12:35AM 03-03-2020,,185
243,1:40AM 03-03-2020,5:00AM 03-03-2020,,200
244,9:05AM 03-03-2020,10:05AM 03-03-2020,,60
245,2:10PM 03-03-2020,4:10PM 03-03-2020,,119
246,6:10PM 03-03-2020,9:10PM 03-03-2020,,180
247,10:20PM 03-03-2020,1:10AM 03-04-2020,,170
248,2:20AM 03-04-2020,5:12AM 03-04-2020,,172
249,9:40AM 03-04-2020,11:45AM 03-04-2020,,125
250,4:45PM 03-04-2020,5:25PM 03-04-2020,,40
251,9:00PM 03-04-2020,4:50AM 03-05-2020,,470
252,8:10AM 03-05-2020,9:20AM 03-05-2020,,70
253,10:20AM 03-05-2020,12:15PM 03-05-2020,,114
254,4:30PM 03-05-2020,5:30PM 03-05-2020,,59
255,6:15PM 03-05-2020,8:15PM 03-05-2020,,121
256,9:30PM 03-05-2020,12:23AM 03-06-2020,,173
257,1:20AM 03-06-2020,4:20AM 03-06-2020,,180
258,5:15AM 03-06-2020,6:00AM 03-06-2020,,45
259,9:30AM 03-06-2020,10:15AM 03-06-2020,,44
260,12:45PM 03-06-2020,2:05PM 03-06-2020,,80
261,5:00PM 03-06-2020,6:30PM 03-06-2020,,90
262,7:20PM 03-06-2020,8:55PM 03-06-2020,,95
263,9:30PM 03-06-2020,12:20AM 03-07-2020,,170
264,1:10AM 03-07-2020,4:35AM 03-07-2020,,205
265,9:20AM 03-07-2020,10:10AM 03-07-2020,,50
266,10:55AM 03-07-2020,1:05PM 03-07-2020,,130
268,4:30PM 03-07-2020,5:00PM 03-07-2020,,30
267,7:20PM 03-07-2020,9:03PM 03-07-2020,,102
269,9:30PM 03-07-2020,1:59AM 03-08-2020,,269
270,3:50AM 03-08-2020,7:20AM 03-08-2020,,209
271,4:40PM 03-08-2020,7:00PM 03-08-2020,,140
272,8:15PM 03-08-2020,9:25PM 03-08-2020,,70
273,10:00PM 03-08-2020,1:39AM 03-09-2020,,219
274,3:00AM 03-09-2020,6:05AM 03-09-2020,,185
275,12:10PM 03-09-2020,1:45PM 03-09-2020,,95
276,5:20PM 03-09-2020,6:10PM 03-09-2020,,50
277,8:35PM 03-09-2020,9:15PM 03-09-2020,,40
278,10:00PM 03-09-2020,3:50AM 03-10-2020,,350
279,5:15AM 03-10-2020,7:45AM 03-10-2020,,150
280,12:45PM 03-10-2020,3:47PM 03-10-2020,,181
281,8:45PM 03-10-2020,9:15PM 03-10-2020,,30
282,10:05PM 03-10-2020,5:20AM 03-11-2020,,435
283,6:15AM 03-11-2020,7:00AM 03-11-2020,,45
284,9:25AM 03-11-2020,10:00AM 03-11-2020,,35
285,10:55AM 03-11-2020,12:30PM 03-11-2020,,95
286,2:40PM 03-11-2020,3:20PM 03-11-2020,,40
287,6:30PM 03-11-2020,9:02PM 03-11-2020,,152
288,10:05PM 03-11-2020,2:10AM 03-12-2020,,245
289,3:15AM 03-12-2020,6:30AM 03-12-2020,,195
290,8:45AM 03-12-2020,10:35AM 03-12-2020,,109
291,3:00PM 03-12-2020,4:12PM 03-12-2020,,72
292,9:40PM 03-12-2020,10:20PM 03-12-2020,,40
293,10:55PM 03-12-2020,4:30AM 03-13-2020,,335
294,5:30AM 03-13-2020,7:40AM 03-13-2020,,130
295,11:00AM 03-13-2020,12:50PM 03-13-2020,,110
296,5:55PM 03-13-2020,8:30PM 03-13-2020,,155
297,9:50PM 03-13-2020,1:20AM 03-14-2020,,210
298,3:15AM 03-14-2020,4:00AM 03-14-2020,,45
299,4:45AM 03-14-2020,5:40AM 03-14-2020,,55
300,6:50AM 03-14-2020,8:45AM 03-14-2020,,115
301,11:45AM 03-14-2020,12:30PM 03-14-2020,,45
302,4:00PM 03-14-2020,4:35PM 03-14-2020,,35
303,8:15PM 03-14-2020,9:25PM 03-14-2020,,69
304,9:50PM 03-14-2020,11:50PM 03-14-2020,,120
305,12:20AM 03-15-2020,3:10AM 03-15-2020,,170
306,4:30AM 03-15-2020,5:10AM 03-15-2020,,40
307,5:50AM 03-15-2020,6:45AM 03-15-2020,,55
