id,Start Time,End Time,Notes,Approximate Duration (Minutes)
455,8:05PM 04-06-2020,2:05AM 04-07-2020,,360
456,2:55AM 04-07-2020,4:00AM 04-07-2020,,65
457,4:40AM 04-07-2020,7:05AM 04-07-2020,,145
458,8:50AM 04-07-2020,9:45AM 04-07-2020,,55
459,11:10AM 04-07-2020,12:08PM 04-07-2020,,57
460,1:35PM 04-07-2020,2:41PM 04-07-2020,,66
461,4:20PM 04-07-2020,5:24PM 04-07-2020,,64
463,7:10PM 04-07-2020,7:40PM 04-07-2020,,30
464,8:30PM 04-07-2020,4:15AM 04-08-2020,,465
465,5:10AM 04-08-2020,6:05AM 04-08-2020,,55
466,7:45AM 04-08-2020,8:30AM 04-08-2020,,45
467,10:00AM 04-08-2020,10:45AM 04-08-2020,,45
469,12:25PM 04-08-2020,1:25PM 04-08-2020,,60
470,3:05PM 04-08-2020,3:45PM 04-08-2020,,40
471,6:13PM 04-08-2020,6:23PM 04-08-2020,,10
472,8:20PM 04-08-2020,3:15AM 04-09-2020,,415
473,4:10AM 04-09-2020,6:55AM 04-09-2020,,165
474,8:30AM 04-09-2020,9:21AM 04-09-2020,,50
475,10:50AM 04-09-2020,11:46AM 04-09-2020,,55
476,1:20PM 04-09-2020,2:07PM 04-09-2020,,47
477,3:45PM 04-09-2020,4:25PM 04-09-2020,,40
478,6:00PM 04-09-2020,7:00PM 04-09-2020,,60
479,9:00PM 04-09-2020,3:40AM 04-10-2020,,399
480,4:30AM 04-10-2020,5:25AM 04-10-2020,,55
481,6:05AM 04-10-2020,6:50AM 04-10-2020,,45
482,8:30AM 04-10-2020,9:13AM 04-10-2020,,43
483,10:35AM 04-10-2020,11:25AM 04-10-2020,,50
484,1:25PM 04-10-2020,1:50PM 04-10-2020,,26
485,2:50PM 04-10-2020,3:53PM 04-10-2020,,63
486,5:35PM 04-10-2020,6:13PM 04-10-2020,,39
487,8:30PM 04-10-2020,12:35AM 04-11-2020,,245
488,1:20AM 04-11-2020,4:35AM 04-11-2020,,195
489,5:25AM 04-11-2020,6:15AM 04-11-2020,,50
490,7:55AM 04-11-2020,8:40AM 04-11-2020,,45
491,10:20AM 04-11-2020,11:01AM 04-11-2020,,41
492,12:50PM 04-11-2020,1:37PM 04-11-2020,,47
493,3:10PM 04-11-2020,3:57PM 04-11-2020,,46
494,7:25PM 04-11-2020,8:20PM 04-11-2020,,56
495,8:50PM 04-11-2020,3:45AM 04-12-2020,,415
496,4:30AM 04-12-2020,6:50AM 04-12-2020,,140
497,8:40AM 04-12-2020,9:27AM 04-12-2020,,47
498,11:22AM 04-12-2020,11:47AM 04-12-2020,,25
499,1:35PM 04-12-2020,3:22PM 04-12-2020,,107
500,4:55PM 04-12-2020,5:51PM 04-12-2020,,56
501,8:10PM 04-12-2020,11:50PM 04-12-2020,,220
502,12:45AM 04-13-2020,4:35AM 04-13-2020,,230
503,5:25AM 04-13-2020,6:15AM 04-13-2020,,50
504,8:15AM 04-13-2020,8:37AM 04-13-2020,,22
505,10:10AM 04-13-2020,10:59AM 04-13-2020,,49
506,12:55PM 04-13-2020,1:45PM 04-13-2020,,51
507,3:35PM 04-13-2020,4:30PM 04-13-2020,,55
508,8:15PM 04-13-2020,1:10AM 04-14-2020,,295
509,1:45AM 04-14-2020,4:45AM 04-14-2020,,180
510,5:12AM 04-14-2020,6:25AM 04-14-2020,,73
511,8:05AM 04-14-2020,8:48AM 04-14-2020,,43
512,10:30AM 04-14-2020,11:30AM 04-14-2020,,60
513,1:20PM 04-14-2020,2:13PM 04-14-2020,,52
514,4:10PM 04-14-2020,4:53PM 04-14-2020,,43
515,8:00PM 04-14-2020,2:00AM 04-15-2020,,360
516,2:45AM 04-15-2020,5:45AM 04-15-2020,,180
517,6:35AM 04-15-2020,7:40AM 04-15-2020,,65
518,9:17AM 04-15-2020,9:57AM 04-15-2020,,40
519,11:40AM 04-15-2020,12:33PM 04-15-2020,,53
520,2:20PM 04-15-2020,3:06PM 04-15-2020,,46
521,5:00PM 04-15-2020,5:40PM 04-15-2020,,40
522,8:25PM 04-15-2020,1:50AM 04-16-2020,,325
523,2:41AM 04-16-2020,5:35AM 04-16-2020,,174
524,6:25AM 04-16-2020,7:10AM 04-16-2020,,45
525,9:15AM 04-16-2020,9:55AM 04-16-2020,,40
526,11:40AM 04-16-2020,12:26PM 04-16-2020,,45
527,2:15PM 04-16-2020,2:50PM 04-16-2020,,36
528,4:30PM 04-16-2020,5:15PM 04-16-2020,,45
529,8:00PM 04-16-2020,4:00AM 04-17-2020,,480
530,5:00AM 04-17-2020,7:00AM 04-17-2020,,120
531,9:07AM 04-17-2020,9:54AM 04-17-2020,,47
532,11:45AM 04-17-2020,12:41PM 04-17-2020,,55
533,2:22PM 04-17-2020,3:13PM 04-17-2020,,52
534,5:00PM 04-17-2020,5:44PM 04-17-2020,,44
535,8:25PM 04-17-2020,9:35PM 04-17-2020,,70
536,10:20PM 04-17-2020,3:35AM 04-18-2020,,315
537,4:35AM 04-18-2020,7:05AM 04-18-2020,,150
538,8:50AM 04-18-2020,10:48AM 04-18-2020,,118
539,12:36PM 04-18-2020,1:22PM 04-18-2020,,46
540,2:50PM 04-18-2020,3:30PM 04-18-2020,,40
541,5:15PM 04-18-2020,6:25PM 04-18-2020,,70
542,8:30PM 04-18-2020,2:25AM 04-19-2020,,355
543,3:30AM 04-19-2020,6:20AM 04-19-2020,,170
544,8:15AM 04-19-2020,9:05AM 04-19-2020,,50
545,11:15AM 04-19-2020,12:00PM 04-19-2020,,45
546,1:45PM 04-19-2020,2:35PM 04-19-2020,,51
547,4:40PM 04-19-2020,5:25PM 04-19-2020,,45
548,8:15PM 04-19-2020,2:00AM 04-20-2020,,345
549,2:55AM 04-20-2020,4:55AM 04-20-2020,,120
550,5:45AM 04-20-2020,6:25AM 04-20-2020,,40
551,8:25AM 04-20-2020,9:00AM 04-20-2020,,35
552,10:50AM 04-20-2020,11:30AM 04-20-2020,,40
553,1:25PM 04-20-2020,2:10PM 04-20-2020,,45
554,4:05PM 04-20-2020,4:40PM 04-20-2020,,35
555,7:55PM 04-20-2020,8:50PM 04-20-2020,,55
556,9:00PM 04-20-2020,2:05AM 04-21-2020,,305
557,2:50AM 04-21-2020,3:55AM 04-21-2020,,65
558,4:15AM 04-21-2020,4:55AM 04-21-2020,,40
559,5:30AM 04-21-2020,6:15AM 04-21-2020,,45
560,8:15AM 04-21-2020,8:57AM 04-21-2020,,42
561,10:50AM 04-21-2020,11:45AM 04-21-2020,,55
562,1:40PM 04-21-2020,2:25PM 04-21-2020,,45
563,4:35PM 04-21-2020,5:19PM 04-21-2020,,44
566,8:00PM 04-21-2020,8:50PM 04-21-2020,,50
565,9:15PM 04-21-2020,9:40PM 04-21-2020,,25
564,10:00PM 04-21-2020,3:55AM 04-22-2020,,355
567,4:40AM 04-22-2020,5:25AM 04-22-2020,,45
568,6:35AM 04-22-2020,7:26AM 04-22-2020,,50
569,9:00AM 04-22-2020,9:55AM 04-22-2020,,56
570,12:00PM 04-22-2020,12:35PM 04-22-2020,,35
571,2:10PM 04-22-2020,3:04PM 04-22-2020,,54
572,4:40PM 04-22-2020,5:24PM 04-22-2020,,43
573,7:30PM 04-22-2020,7:40PM 04-22-2020,,10
574,9:00PM 04-22-2020,5:40AM 04-23-2020,,520
575,7:20AM 04-23-2020,8:05AM 04-23-2020,,45
576,9:35AM 04-23-2020,10:27AM 04-23-2020,,52
577,12:02PM 04-23-2020,12:54PM 04-23-2020,,52
578,2:37PM 04-23-2020,3:12PM 04-23-2020,,35
579,5:05PM 04-23-2020,5:37PM 04-23-2020,,32
580,7:30PM 04-23-2020,10:40PM 04-23-2020,,190
581,11:35PM 04-23-2020,3:35AM 04-24-2020,,240
582,4:35AM 04-24-2020,6:40AM 04-24-2020,,125
583,9:25AM 04-24-2020,9:47AM 04-24-2020,,22
584,11:30AM 04-24-2020,12:19PM 04-24-2020,,49
585,1:50PM 04-24-2020,2:45PM 04-24-2020,,55
586,4:40PM 04-24-2020,5:25PM 04-24-2020,,44
587,6:00PM 04-24-2020,6:25PM 04-24-2020,,24
588,8:00PM 04-24-2020,4:55AM 04-25-2020,,535
589,5:45AM 04-25-2020,7:00AM 04-25-2020,,75
